API,Tempo de Resposta (ms),Tamanho da Resposta (bytes)
REST,227,95
REST,183,95
REST,201,95
REST,206,95
REST,195,95
REST,203,95
REST,315,95
REST,204,95
REST,206,95
REST,207,95
REST,204,95
REST,220,95
REST,290,95
REST,205,95
REST,204,95
REST,205,95
REST,190,95
REST,157,95
REST,156,95
REST,164,95
REST,252,95
REST,207,95
REST,201,95
REST,306,95
REST,202,95
REST,203,95
REST,208,95
REST,206,95
REST,202,95
REST,206,95
REST,202,95
REST,211,95
REST,200,95
REST,150,95
REST,246,95
REST,215,95
REST,206,95
REST,205,95
REST,202,95
REST,206,95
REST,204,95
REST,199,95
REST,157,95
REST,189,95
REST,273,95
REST,157,95
REST,253,95
REST,204,95
REST,174,95
REST,235,95
REST,203,95
REST,313,95
REST,188,95
REST,204,95
REST,207,95
REST,214,95
REST,204,95
REST,204,95
REST,204,95
REST,198,95
REST,215,95
REST,205,95
REST,199,95
REST,203,95
REST,199,95
REST,213,95
REST,201,95
REST,192,95
REST,203,95
REST,220,95
REST,206,95
REST,195,95
REST,199,95
REST,205,95
REST,164,95
REST,151,95
REST,202,95
REST,199,95
REST,201,95
REST,203,95
REST,214,95
REST,189,95
REST,204,95
REST,166,95
REST,163,95
REST,176,95
REST,166,95
REST,203,95
REST,250,95
REST,211,95
REST,194,95
REST,213,95
REST,203,95
REST,141,95
REST,271,95
REST,204,95
REST,208,95
REST,196,95
REST,204,95
REST,211,95
REST,205,95
REST,194,95
REST,216,95
REST,203,95
REST,203,95
REST,197,95
REST,218,95
REST,195,95
REST,207,95
REST,199,95
REST,210,95
REST,198,95
REST,211,95
REST,195,95
REST,157,95
REST,261,95
REST,201,95
REST,208,95
REST,299,95
REST,212,95
REST,207,95
REST,197,95
REST,207,95
REST,204,95
REST,206,95
REST,206,95
REST,203,95
REST,296,95
REST,217,95
REST,150,95
REST,256,95
REST,190,95
REST,217,95
REST,296,95
REST,215,95
REST,197,95
REST,309,95
REST,205,95
REST,210,95
REST,203,95
REST,219,95
REST,185,95
REST,179,95
REST,235,95
REST,193,95
REST,203,95
REST,212,95
REST,207,95
REST,201,95
REST,191,95
REST,230,95
REST,189,95
REST,203,95
REST,203,95
REST,161,95
REST,158,95
REST,186,95
REST,215,95
REST,203,95
REST,204,95
REST,203,95
REST,204,95
REST,206,95
REST,205,95
REST,161,95
REST,248,95
REST,197,95
REST,207,95
REST,211,95
REST,199,95
REST,206,95
REST,196,95
REST,174,95
REST,244,95
REST,202,95
REST,211,95
REST,194,95
REST,204,95
REST,209,95
REST,203,95
REST,201,95
REST,210,95
REST,308,95
REST,202,95
REST,206,95
REST,197,95
REST,206,95
REST,195,95
REST,211,95
REST,215,95
REST,193,95
REST,205,95
REST,210,95
REST,199,95
REST,206,95
REST,200,95
REST,207,95
REST,201,95
REST,208,95
REST,195,95
REST,157,95
REST,263,95
REST,191,95
REST,207,95
REST,213,95
REST,194,95
REST,207,95
REST,197,95
REST,217,95
REST,201,95
REST,204,95
REST,163,95
REST,248,95
REST,204,95
REST,201,95
REST,214,95
REST,201,95
REST,203,95
REST,160,95
REST,244,95
REST,204,95
REST,213,95
REST,189,95
REST,219,95
REST,193,95
REST,204,95
REST,215,95
REST,197,95
REST,204,95
REST,209,95
REST,204,95
REST,204,95
REST,207,95
REST,205,95
REST,203,95
REST,205,95
REST,191,95
REST,207,95
REST,216,95
REST,203,95
REST,205,95
REST,203,95
REST,200,95
REST,211,95
REST,156,95
REST,168,95
REST,286,95
REST,200,95
REST,212,95
REST,197,95
REST,210,95
REST,193,95
REST,209,95
REST,210,95
REST,196,95
REST,200,95
REST,206,95
REST,204,95
REST,209,95
REST,158,95
REST,258,95
REST,194,95
REST,180,95
REST,146,95
REST,196,95
REST,197,95
REST,207,95
REST,159,95
REST,254,95
REST,200,95
REST,205,95
REST,199,95
REST,205,95
REST,204,95
